Rooms,Type,Price,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Regionname
2,h,1035000.0,2.5,2.0,1.0,0.0,156.0,79.0,1900.0,Northern Metropolitan
3,h,1465000.0,2.5,3.0,2.0,0.0,134.0,150.0,1900.0,Northern Metropolitan
4,h,1600000.0,2.5,3.0,1.0,2.0,120.0,142.0,2014.0,Northern Metropolitan
3,h,1876000.0,2.5,4.0,2.0,0.0,245.0,210.0,1910.0,Northern Metropolitan
2,h,1636000.0,2.5,2.0,1.0,2.0,256.0,107.0,1890.0,Northern Metropolitan
2,h,1097000.0,2.5,3.0,1.0,2.0,220.0,75.0,1900.0,Northern Metropolitan
3,h,1350000.0,2.5,3.0,2.0,2.0,214.0,190.0,2005.0,Northern Metropolitan
2,u,750000.0,2.5,2.0,2.0,1.0,0.0,94.0,2009.0,Northern Metropolitan
2,h,1310000.0,2.5,2.0,1.0,2.0,238.0,97.0,1890.0,Northern Metropolitan
3,h,1200000.0,2.5,3.0,2.0,1.0,113.0,110.0,1880.0,Northern Metropolitan
3,h,1176500.0,2.5,2.0,1.0,1.0,138.0,105.0,1890.0,Northern Metropolitan
2,h,890000.0,2.5,2.0,1.0,1.0,150.0,73.0,1985.0,Northern Metropolitan
4,h,1330000.0,2.5,4.0,2.0,2.0,780.0,135.0,1900.0,Northern Metropolitan
2,u,500000.0,2.5,2.0,1.0,1.0,0.0,60.0,1970.0,Northern Metropolitan
2,h,1100000.0,2.5,2.0,2.0,1.0,124.0,135.0,2013.0,Northern Metropolitan
2,h,1315000.0,2.5,2.0,1.0,0.0,147.0,85.0,1900.0,Northern Metropolitan
3,h,1447500.0,2.5,3.0,3.0,1.0,166.0,174.0,2012.0,Northern Metropolitan
2,h,1135000.0,2.5,2.0,2.0,2.0,98.0,128.0,1920.0,Northern Metropolitan
3,h,1290000.0,2.5,3.0,1.0,1.0,168.0,124.0,1950.0,Northern Metropolitan
1,u,470000.0,2.5,1.0,1.0,1.0,0.0,50.0,2013.0,Northern Metropolitan
2,h,1180000.0,2.5,2.0,1.0,0.0,162.0,91.0,1900.0,Northern Metropolitan
3,h,1195000.0,2.5,3.0,2.0,1.0,120.0,128.0,1998.0,Northern Metropolitan
2,h,1012500.0,2.5,2.0,1.0,0.0,182.0,82.0,1900.0,Northern Metropolitan
2,h,1030000.0,2.5,2.0,1.0,1.0,172.0,81.0,1930.0,Northern Metropolitan
3,t,840000.0,13.5,3.0,2.0,1.0,303.0,225.0,2016.0,Western Metropolitan
3,h,730000.0,13.5,3.0,2.0,1.0,0.0,145.0,1965.0,Western Metropolitan
3,h,770000.0,13.5,3.0,2.0,1.0,0.0,145.0,1965.0,Western Metropolitan
2,h,603000.0,13.5,2.0,1.0,1.0,272.0,84.0,1950.0,Western Metropolitan
3,t,700000.0,13.5,3.0,2.0,2.0,239.0,134.0,2009.0,Western Metropolitan
3,h,600000.0,13.5,2.0,1.0,1.0,290.0,116.0,1980.0,Western Metropolitan
2,u,500000.0,13.5,2.0,1.0,1.0,168.0,86.0,2011.0,Western Metropolitan
6,h,725000.0,13.5,6.0,3.0,2.0,976.0,186.0,1980.0,Western Metropolitan
2,t,450000.0,13.5,2.0,1.0,1.0,110.0,90.0,2015.0,Western Metropolitan
2,u,515000.0,13.5,2.0,1.0,1.0,141.0,73.0,2013.0,Western Metropolitan
2,u,530000.0,13.5,2.0,1.0,1.0,120.0,94.0,2012.0,Western Metropolitan
3,h,895000.0,13.5,3.0,1.0,6.0,1063.0,133.0,1975.0,Western Metropolitan
3,h,805000.0,13.5,3.0,1.0,1.0,0.0,105.0,1950.0,Western Metropolitan
3,u,752000.0,13.5,3.0,1.0,1.0,265.0,130.0,1993.0,Western Metropolitan
3,t,700000.0,13.5,3.0,2.0,2.0,165.0,133.0,2009.0,Western Metropolitan
3,h,830000.0,13.5,3.0,1.0,2.0,971.0,113.0,1960.0,Western Metropolitan
2,h,675000.0,13.5,2.0,1.0,1.0,612.0,100.0,1975.0,Western Metropolitan
3,h,1042000.0,13.5,3.0,2.0,5.0,612.0,174.0,1950.0,Western Metropolitan
4,h,773000.0,13.5,5.0,3.0,4.0,531.0,309.0,1980.0,Western Metropolitan
3,h,810000.0,13.5,3.0,3.0,2.0,555.0,192.0,1980.0,Western Metropolitan
3,h,715000.0,13.5,3.0,2.0,2.0,422.0,126.0,1995.0,Western Metropolitan
3,t,540000.0,13.5,2.0,2.0,1.0,161.0,101.0,2010.0,Western Metropolitan
3,t,825000.0,13.5,3.0,2.0,1.0,293.0,102.0,1960.0,Western Metropolitan
3,h,685000.0,13.5,3.0,1.0,1.0,579.0,113.0,1975.0,Western Metropolitan
4,h,900000.0,13.5,4.0,2.0,3.0,628.0,146.0,1975.0,Western Metropolitan
2,h,1275000.0,3.3,2.0,1.0,0.0,120.0,82.0,1900.0,Southern Metropolitan
3,h,2850000.0,3.3,3.0,2.0,0.0,211.0,198.0,1890.0,Southern Metropolitan
3,h,1850000.0,3.3,3.0,2.0,0.0,128.0,133.0,1890.0,Southern Metropolitan
2,h,1436000.0,3.3,2.0,1.0,0.0,130.0,81.0,1900.0,Southern Metropolitan
4,h,2300000.0,3.3,4.0,2.0,1.0,153.0,180.0,1880.0,Southern Metropolitan
3,h,1800000.0,3.3,3.0,2.0,1.0,132.0,159.0,1996.0,Southern Metropolitan
2,h,2120000.0,3.3,2.0,1.0,1.0,199.0,107.0,1900.0,Southern Metropolitan
3,h,1800000.0,3.3,3.0,2.0,1.0,90.0,122.0,1900.0,Southern Metropolitan
3,h,2615000.0,3.3,3.0,2.0,1.0,177.0,181.0,1880.0,Southern Metropolitan
3,h,1370000.0,3.3,3.0,2.0,2.0,0.0,85.0,2000.0,Southern Metropolitan
2,h,1322500.0,3.3,2.0,1.0,0.0,149.0,98.0,1890.0,Southern Metropolitan
2,h,1562500.0,3.3,2.0,1.0,0.0,141.0,83.0,1890.0,Southern Metropolitan
3,h,2000000.0,3.3,3.0,2.0,1.0,211.0,147.0,1900.0,Southern Metropolitan
3,h,3010000.0,3.3,3.0,2.0,0.0,147.0,146.0,1890.0,Southern Metropolitan
