id,A,B,C,D,Quality,Unit
249,6.5,3.0,5.5,1.8,Refurbish,RJ
643,6.4,2.8,5.6,2.2,Refurbish,RJ
256,6.7,3.3,5.7,2.5,Refurbish,BH
119,6.0,2.2,5.0,1.5,Refurbish,BH
422,5.0,3.6,1.4,0.2,Reject,SP
480,6.5,3.2,5.1,2.0,Refurbish,BH
605,5.6,2.5,3.9,1.1,Accept,SP
423,6.3,2.9,5.6,1.8,Refurbish,BH
398,5.9,3.0,5.1,1.8,Refurbish,SP
504,6.5,2.8,4.6,1.5,Accept,BH
538,6.7,3.1,4.4,1.4,Accept,SP
337,7.3,2.9,6.3,1.8,Refurbish,SP
474,7.9,3.8,6.4,2.0,Refurbish,BH
258,4.9,3.1,1.5,0.1,Reject,SP
316,5.1,3.8,1.9,0.4,Reject,SP
641,5.0,3.0,1.6,0.2,Reject,RJ
581,6.8,2.8,4.8,1.4,Accept,BH
622,5.9,3.0,4.2,1.5,Accept,BH
609,6.1,2.8,4.7,1.2,Accept,BH
413,5.0,3.2,1.2,0.2,Reject,SP
618,5.8,4.0,1.2,0.2,Reject,BH
152,6.7,3.1,5.6,2.4,Refurbish,RJ
507,5.5,4.2,1.4,0.2,Reject,RJ
519,5.7,2.8,4.1,1.3,Accept,SP
171,5.4,3.4,1.5,0.4,Reject,SP
545,5.0,3.4,1.6,0.4,Reject,SP
379,4.4,2.9,1.4,0.2,Reject,BH
335,5.8,2.7,5.1,1.9,Refurbish,RJ
176,5.4,3.4,1.5,0.4,Reject,SP
20,5.4,3.4,1.7,0.2,Reject,SP
561,6.0,3.0,4.8,1.8,Refurbish,RJ
405,6.4,2.9,4.3,1.3,Accept,RJ
383,7.7,3.8,6.7,2.2,Refurbish,SP
500,4.8,3.4,1.9,0.2,Reject,BH
540,5.2,2.7,3.9,1.4,Accept,BH
566,4.9,3.1,1.5,0.1,Reject,RJ
0,5.1,3.5,1.4,0.2,Reject,SP
274,5.0,3.4,1.5,0.2,Reject,SP
372,5.0,3.5,1.6,,Reject,RJ
184,6.0,2.7,5.1,1.6,Accept,SP
165,6.2,2.9,4.3,1.3,Accept,RJ
545,5.0,3.4,1.6,0.4,Reject,SP
113,5.7,2.5,5.0,2.0,Refurbish,SP
1,4.9,3.0,1.4,0.2,Reject,BH
117,7.7,3.8,6.7,2.2,Refurbish,SP
611,5.6,3.0,4.5,1.5,Accept,SP
511,6.2,2.2,4.5,1.5,Accept,RJ
274,5.0,3.4,1.5,0.2,Reject,SP
183,5.7,4.4,1.5,0.4,Reject,SP
223,6.3,3.4,5.6,2.4,Refurbish,SP
141,6.9,3.1,5.1,2.3,Refurbish,SP
421,6.5,2.8,4.6,1.5,Accept,BH
414,5.9,3.0,5.1,1.8,Refurbish,SP
560,5.4,3.9,1.7,0.4,Reject,SP
289,5.7,3.0,4.2,1.2,Accept,RJ
308,7.2,3.0,5.8,1.6,Refurbish,BH
497,5.8,2.7,4.1,1.0,Accept,SP
508,6.0,3.0,4.8,1.8,Refurbish,RJ
2,4.7,3.2,1.3,0.2,Reject,RJ
156,5.0,3.5,1.6,,Reject,RJ
36,5.5,3.5,1.3,0.2,Reject,SP
176,5.4,3.4,1.5,0.4,Reject,SP
182,5.4,3.9,1.3,0.4,Reject,BH
496,5.2,2.7,3.9,1.4,Accept,BH
484,5.4,3.4,1.5,0.4,Reject,SP
603,5.8,2.7,5.1,1.9,Refurbish,RJ
497,5.8,2.7,4.1,1.0,Accept,SP
277,7.2,3.6,6.1,2.5,Refurbish,SP
625,4.6,3.4,1.4,0.3,Reject,RJ
616,5.7,3.8,1.7,0.3,Reject,RJ
295,6.1,2.8,4.0,1.3,Accept,RJ
285,6.5,3.0,5.2,2.0,Refurbish,SP
160,6.3,2.3,4.4,1.3,Accept,BH
9,4.9,3.1,1.5,0.1,Reject,RJ
33,5.5,4.2,1.4,0.2,Reject,RJ
495,6.3,2.5,5.0,1.9,Refurbish,RJ
503,5.6,2.5,3.9,1.1,Accept,SP
444,4.4,3.0,1.3,0.2,Reject,SP
311,5.1,3.4,1.5,0.2,Reject,BH
267,7.6,3.0,6.6,2.1,Refurbish,RJ
212,6.5,2.8,4.6,1.5,Accept,BH
368,5.0,2.3,3.3,1.0,Accept,SP
76,6.8,2.8,4.8,1.4,Accept,BH
300,5.0,2.0,3.5,1.0,Accept,BH
44,5.1,3.8,1.9,0.4,Reject,SP
275,5.2,4.1,1.5,0.1,Reject,BH
120,6.9,3.2,5.7,2.3,Refurbish,RJ
178,4.8,3.4,1.6,0.2,Reject,SP
35,5.0,3.2,1.2,0.2,Reject,SP
173,6.1,2.8,4.7,1.2,Accept,BH
242,6.1,3.0,4.9,1.8,Refurbish,SP
52,6.9,3.1,4.9,1.5,Accept,SP
257,6.1,3.0,4.9,1.8,Refurbish,SP
2,4.7,3.2,1.3,0.2,Reject,RJ
483,5.6,2.8,4.9,2.0,Refurbish,RJ
148,6.2,3.4,5.4,2.3,Refurbish,SP
62,6.0,2.2,4.0,1.0,Accept,RJ
